キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
ctrl,0.449,0.000,7.295
end,0.075,0.132,7.560
S,0.089,485.609,493.352
N,0.111,0.009,493.450
S,0.099,1.870,495.431
U,0.082,0.089,495.619
K,0.084,0.128,495.828
I,0.070,0.086,495.998
G,0.058,1.501,497.568
I,0.082,0.049,497.675
R,0.127,0.184,497.942
L,0.070,0.356,498.425
S,0.067,1.130,499.625
I,0.091,0.049,499.741
K,0.084,0.093,499.925
I,0.076,0.069,500.078
P,0.083,1.089,501.242
O,0.075,0.059,501.384
T,0.075,0.327,501.787
T,0.082,0.063,501.925
O,0.087,0.101,502.107
D,0.101,1.124,503.319
E,0.082,0.031,503.451
A,0.092,0.145,503.678
U,0.083,0.349,504.119
Y,0.070,1.178,505.380
A,0.093,0.049,505.499
M,0.080,0.033,505.625
A,0.095,0.081,505.786
K,0.077,1.177,507.058
O,0.073,0.051,507.186
T,0.026,0.461,507.720
T,0.080,0.094,507.840
I,0.078,0.101,508.021
N,0.070,0.678,508.776
A,0.093,0.029,508.875
R,0.079,0.090,509.058
U,0.062,0.113,509.250
N,0.072,0.967,510.280
A,0.075,0.018,510.370
R,0.081,0.091,510.535
U,0.079,0.025,510.642
N,0.085,1.303,512.023
A,0.108,0.043,512.151
R,0.222,0.249,512.508
U,0.119,0.104,512.834
space,0.078,1.210,514.163
space,0.180,8.695,522.937
space,0.156,1.228,524.344
space,0.150,0.857,525.357
M,0.092,4.985,530.492
E,0.073,0.043,530.627
I,0.093,0.016,530.716
S,0.096,1.234,532.043
I,0.070,0.127,532.266
M,0.079,2.846,535.182
A,0.072,0.010,535.271
T,0.078,0.111,535.454
U,0.083,0.043,535.575
Y,0.098,0.870,536.529
O,0.090,0.049,536.675
B,0.076,0.377,537.142
U,0.088,0.028,537.246
N,0.069,0.950,538.283
A,0.049,0.022,538.374
T,0.081,0.140,538.563
U,0.076,0.055,538.700
D,0.127,1.621,540.397
E,0.101,0.026,540.550
A,0.099,0.101,540.752
U,0.090,0.924,541.775
R,0.148,0.978,542.844
U,0.078,1.114,542.980
K,0.091,2.084,545.141
A,0.104,0.028,545.261
M,0.088,0.126,545.358
I,0.089,0.112,545.558
E,0.107,0.387,546.034
I,0.102,0.061,546.202
I,0.067,0.104,546.408
M,0.084,0.860,547.335
A,0.090,0.023,547.442
K,0.092,0.310,547.842
A,0.103,0.039,547.973
M,0.097,0.013,548.089
E,0.094,0.021,548.207
I,0.085,0.045,548.347
U,0.049,0.058,548.359
B,0.081,1.339,549.770
I,0.079,0.034,549.885
Z,0.122,0.178,550.142
A,0.114,0.113,550.377
I,0.087,1.131,551.622
Z,0.099,0.260,551.969
E,0.108,0.098,552.167
N,0.077,0.522,552.796
N,0.082,0.069,552.942
B,0.072,0.995,554.020
O,0.066,0.040,554.132
K,0.133,0.110,554.309
U,0.088,0.129,554.571
F,0.100,1.200,555.858
O,0.075,0.051,556.009
T,0.081,0.368,556.452
O,0.090,0.040,556.574
U,0.066,0.061,556.725
F,0.099,0.402,557.194
U,0.066,0.031,557.324
D,0.127,1.486,558.876
A,0.161,0.033,559.036
N,0.095,0.084,559.281
S,0.150,0.737,560.113
U,0.072,1.017,561.279
U,0.093,0.131,561.482
A,0.093,1.641,563.216
S,0.125,0.081,563.390
A,0.113,0.032,563.547
K,0.090,0.034,563.693
U,0.082,0.078,563.862
N,0.078,1.258,565.202
A,0.087,0.048,565.329
I,0.066,0.047,565.464
A,0.020,0.020,565.550
B,0.084,0.308,565.878
U,0.073,0.034,565.996
N,0.089,1.401,567.469
A,0.117,0.034,567.593
I,0.084,0.024,567.734
B,0.090,0.145,567.962
U,0.076,0.034,568.086
9,0.059,1.269,569.431
I,0.092,1.269,569.431
J,0.082,0.464,569.986
O,0.094,0.042,570.110
P,0.067,0.042,570.110
U,0.080,0.154,570.358
J,0.066,1.164,571.601
I,0.096,1.216,571.654
K,0.098,0.147,571.897
K,0.032,0.081,572.076
I,0.077,0.127,572.235
J,0.121,1.921,574.233
H,0.061,1.947,574.259
J,0.083,0.105,574.459
I,0.101,0.141,574.683
K,0.111,0.264,575.048
I,0.095,0.071,575.230
Z,0.179,0.872,576.197
E,0.101,0.120,576.495
R,0.087,0.153,576.749
O,0.099,0.078,576.914
K,0.100,0.987,578.001
U,0.065,0.067,578.168
M,0.105,0.171,578.403
O,0.078,0.049,578.558
K,0.104,1.013,579.648
U,0.068,0.078,579.830
B,0.093,0.567,580.465
I,0.091,0.033,580.591
E,0.140,1.041,581.724
I,0.082,0.339,582.202
G,0.081,0.249,582.533
A,0.111,0.059,582.673
Y,0.092,1.086,583.870
Y,0.081,0.299,584.261
O,0.125,0.032,584.374
M,0.105,0.086,584.585
U,0.079,0.159,584.849
F,0.134,1.163,586.091
U,0.052,0.042,586.267
R,0.109,0.075,586.394
O,0.075,0.065,586.568
G,0.084,1.177,587.820
A,0.092,0.033,587.937
R,0.087,0.101,588.130
U,0.084,0.069,588.286
S,0.124,0.632,589.001
U,0.082,0.033,589.159
U,0.098,0.111,589.351
G,0.075,0.669,590.118
A,0.095,0.742,590.192
S,0.131,0.113,590.399
U,0.069,0.032,590.562
Z,0.111,1.030,591.662
E,0.122,0.100,591.873
R,0.097,0.079,592.074
P,0.039,0.253,592.424
right,0.145,15.449,607.912
